table,game,buttons,sound,saves,first,loop,recipe,skip,loopskip,anchor0,anchor,land,pair,late,rows,alias
loopnone-990_help_mono__r-ltap-soft-ltap2,fr,help,mono,multi,none,990,ltap-soft-ltap2,,select,1954,5531,482,start-a,start,1658,
loopnone-990_help_mono__r-start0-ltap-soft,fr,help,mono,multi,none,990,start0-ltap-soft,,select,1953,5530,482,start-a,start,2251,
loopnone-990_help_mono__r-start0-ltap-soft-ltap2,fr,help,mono,multi,none,990,start0-ltap-soft-ltap2,,select,1954,5531,482,start-a,start,1529,
loopnone-990_help_mono__r-start0-soft,fr,help,mono,multi,none,990,start0-soft,,select,1952,5529,481,start-a,start,2474,
loopnone-990_help_stereo__r-ltap,fr,help,stereo,multi,none,990,ltap,,select,1743,5320,0,start-a,start,1617,
loopnone-990_help_stereo__r-ltap-soft,fr,help,stereo,multi,none,990,ltap-soft,,select,1953,5530,482,start-a,start,2595,
loopnone-990_help_stereo__r-ltap-soft-ltap2,fr,help,stereo,multi,none,990,ltap-soft-ltap2,,select,1954,5531,482,start-a,start,1637,
loopnone-990_help_stereo__r-start0-ltap-soft,fr,help,stereo,multi,none,990,start0-ltap-soft,,select,1953,5530,482,start-a,start,2243,
loopnone-990_help_stereo__r-start0-ltap-soft-ltap2,fr,help,stereo,multi,none,990,start0-ltap-soft-ltap2,,select,1954,5531,482,start-a,start,1531,
loopnone-990_help_stereo__r-start0-soft,fr,help,stereo,multi,none,990,start0-soft,,select,1952,5529,481,start-a,start,2474,
loopnone-990_la_mono__r-gap-a,fr,la,mono,multi,none,990,gap-a,,a,1742,5319,0,,start,2333,gap-start:a
loopnone-990_la_mono__r-ltap,fr,la,mono,multi,none,990,ltap,,select,1743,5320,0,start-a,start,1623,
loopnone-990_la_mono__r-ltap-soft,fr,la,mono,multi,none,990,ltap-soft,,select,1953,5530,482,start-a,start,2595,
loopnone-990_la_mono__r-ltap-soft-ltap2,fr,la,mono,multi,none,990,ltap-soft-ltap2,,select,1954,5531,482,start-a,start,1693,
loopnone-990_la_mono__r-start0-ltap-soft,fr,la,mono,multi,none,990,start0-ltap-soft,,select,1953,5530,482,start-a,start,2322,
loopnone-990_la_mono__r-start0-ltap-soft-ltap2,fr,la,mono,multi,none,990,start0-ltap-soft-ltap2,,select,1954,5531,482,start-a,start,1535,
loopnone-990_la_mono__r-start0-soft,fr,la,mono,multi,none,990,start0-soft,,select,1952,5529,481,start-a,start,2474,
loopnone-990_la_stereo__r-ltap,fr,la,stereo,multi,none,990,ltap,,select,1743,5320,0,start-a,start,1618,
loopnone-990_single_help_mono__r-gap-a,fr,help,mono,single,none,990,gap-a,,a,1741,5318,0,,start,2333,gap-start:a
loopnone-990_single_help_mono__r-ltap-soft,fr,help,mono,single,none,990,ltap-soft,,select,1950,5527,480,start-a,start,2595,
loopnone-990_single_help_mono__r-start0-ltap-soft,fr,help,mono,single,none,990,start0-ltap-soft,,select,1950,5527,480,start-a,start,1319,
loopnone-990_single_help_mono__r-start0-soft,fr,help,mono,single,none,990,start0-soft,,select,1950,5527,480,start-a,start,2474,
loopnone-990_single_help_mono__r-start0-uploop,fr,help,mono,single,none,990,start0-uploop,,select,1741,5318,0,start-a,start,2474,
loopnone-990_single_help_stereo__r-gap-a,fr,help,stereo,single,none,990,gap-a,,a,1741,5318,0,,start,2333,gap-start:a
loopnone-990_single_help_stereo__r-ltap-soft,fr,help,stereo,single,none,990,ltap-soft,,select,1950,5527,480,start-a,start,2595,
loopnone-990_single_help_stereo__r-start0-ltap-soft,fr,help,stereo,single,none,990,start0-ltap-soft,,select,1950,5527,480,start-a,start,2285,
loopnone-990_single_help_stereo__r-start0-soft,fr,help,stereo,single,none,990,start0-soft,,select,1950,5527,480,start-a,start,2474,
loopnone-990_single_help_stereo__r-start0-uploop,fr,help,stereo,single,none,990,start0-uploop,,select,1741,5318,0,start-a,start,2474,
loopnone-990_single_la_mono__r-gap-a,fr,la,mono,single,none,990,gap-a,,a,1741,5318,0,,start,2333,gap-start:a
loopnone-990_single_la_mono__r-ltap-soft,fr,la,mono,single,none,990,ltap-soft,,select,1950,5527,480,start-a,start,2595,
loopnone-990_single_la_mono__r-start0-ltap-soft,fr,la,mono,single,none,990,start0-ltap-soft,,select,1950,5527,480,start-a,start,1355,
loopnone-990_single_la_mono__r-start0-soft,fr,la,mono,single,none,990,start0-soft,,select,1950,5527,480,start-a,start,2474,
loopnone-990_single_la_stereo__r-gap-a,fr,la,stereo,single,none,990,gap-a,,a,1741,5318,0,,start,2333,gap-start:a
loopnone-990_single_la_stereo__r-ltap-soft,fr,la,stereo,single,none,990,ltap-soft,,select,1950,5527,480,start-a,start,2595,
loopnone-990_single_la_stereo__r-start0-ltap-soft,fr,la,stereo,single,none,990,start0-ltap-soft,,select,1950,5527,480,start-a,start,1334,
loopnone-990_single_la_stereo__r-start0-soft,fr,la,stereo,single,none,990,start0-soft,,select,1950,5527,480,start-a,start,2474,
loopnone-none_help_mono__r-ltap,fr,help,mono,multi,none,none,ltap,,,1743,6068,0,start-a,start,1642,
loopnone-none_help_mono__r-ltap-soft,fr,help,mono,multi,none,none,ltap-soft,,,1953,6278,482,start-a,start,2595,
loopnone-none_help_mono__r-ltap-soft-ltap2,fr,help,mono,multi,none,none,ltap-soft-ltap2,,,1954,6279,482,start-a,start,1665,
loopnone-none_help_mono__r-start0-ltap-soft,fr,help,mono,multi,none,none,start0-ltap-soft,,,1953,6278,482,start-a,start,2268,
